"”N","1ŒŽ","2ŒŽ","3ŒŽ","4ŒŽ","5ŒŽ","6ŒŽ","7ŒŽ","8ŒŽ","9ŒŽ","10ŒŽ","11ŒŽ","12ŒŽ","”N‚Ì’l"
1976,-4.1,-2.8,0,5.9,12.7,15.4,20.4,19.4,16.2,10.5,2.8,-2,7.9
1977,-7.5,-5.5,-0.1,5.2,11.2,15.9,21.3,20.3,17.4,11.3,5.2,-0.6,7.8
1978,-5.2,-7.6,-0.7,5.4,12,17.8,23.2,23.2,17,9.7,4.5,-1,8.2
1979,-5.3,-2.6,-0.6,4.6,10.9,17.5,19.4,22.1,16.9,12.5,4.7,0.9,8.4
1980,-3.9,-5.7,-0.5,4.1,12.3,17.6,19.4,19,16.9,10.8,5.1,-0.3,7.9
1981,-4.9,-3.2,-0.5,6.6,10.3,14.9,21,20.9,16.2,11,1.8,-0.2,7.8
1982,-4.4,-4.6,0.7,6.1,13,15.8,20.4,22.8,17.8,12.5,5.9,0.3,8.9
1983,-2.9,-4.5,0.1,9.5,12.4,13.6,18.2,22.3,17.7,9.7,5.1,-1.8,8.3
1984,-4.7,-5.6,-2.2,5,11.4,18.2,22.1,23.6,17.7,10.3,3.7,-2.1,8.1
1985,-6.9,-2.2,-0.1,7.6,12.4,15.5,20.3,24.6,17.1,10.9,4.1,-3.5,8.3
1986,-5.8,-5.5,-0.4,6.9,11.4,16.1,18.2,22.3,18.1,8.9,3.5,-1.5,7.7
1987,-4.9,-3.8,-0.1,6,12,17.3,20.6,20.6,17.8,11.9,3.6,-2.3,8.2
1988,-3.8,-5.2,-0.1,7.1,11.4,16.6,18.3,22.9,17.6,10.9,2.9,-0.4,8.2
1989,-1.9,-1.4,2.4,7.3,11.4,15.2,21,23,18.4,11.8,6.6,-0.6,9.4
1990,-4.9,-0.7,2.9,7.9,13.4,17.7,20.8,23.1,18.7,13,7.5,1.9,10.1
1991,-1.2,-2.8,0.3,8,13.8,18.8,20.2,21.5,18.4,12.7,4.7,-0.9,9.5
1992,-2.4,-2.5,1,6.9,11.7,16.4,20.7,21.1,16.2,11.6,4.8,0.1,8.8
1993,-1.7,-2.1,1.3,6.2,11.9,15.4,19.1,20,17.5,11.5,5.8,-0.1,8.7
1994,-4.7,-1.3,-0.5,7,13.5,16.9,22.2,24.8,19.8,12.4,5.4,-1.4,9.5
1995,-3.3,-2.3,0.9,7.3,13.3,15.6,21.5,21.3,17.4,13.1,5.5,0,9.2
1996,-3.7,-3.4,0.5,5.8,10.5,15.7,20.4,20.9,18.2,11.5,4.1,-0.7,8.3
1997,-2.5,-1.8,0.2,7.2,11.9,15.8,22,20.5,17.1,10.8,7.1,0.4,9.1
1998,-5.9,-3.6,1.6,9,13.5,15.5,20.3,21.1,19.2,13.2,3.2,-1.7,8.8
1999,-3.2,-3.6,-0.5,6.9,11.9,17.8,22.1,24.9,19.7,11.9,5.5,-1.1,9.4
2000,-3.1,-3.8,0.2,6.1,14,16.7,22.2,23.9,18.6,11.6,3.9,-2.5,9
2001,-5.7,-5.5,0.2,8.3,13.4,16.7,20.7,21.1,17.1,12.1,5,-3.4,8.3
2002,-2.5,-0.6,2.5,9.6,13.6,15.9,20.5,20.1,17.7,12,2.8,-3,9.1
2003,-3.6,-3.5,0.7,8.2,12.9,17.1,17.7,20.7,17.5,11.6,6.2,0,8.8
